Date,Cumulative,Daily
4/2/18,1,1
4/3/18,2,1
4/4/18,4,2
4/5/18,21,17
4/6/18,31,10
4/7/18,35,4
4/8/18,38,3
4/10/18,43,5
4/11/18,47,4
4/12/18,52,5
4/13/18,57,5
4/14/18,81,24
4/15/18,89,8
4/16/18,111,22
4/17/18,151,40
4/18/18,449,298
4/19/18,591,142
4/20/18,665,74
4/21/18,717,52
4/22/18,769,52
4/23/18,914,145
4/24/18,1109,195
4/25/18,1260,151
4/26/18,1611,351
4/27/18,1788,177
4/28/18,1872,84
4/29/18,1944,72
4/30/18,2016,72
5/1/18,2085,69
5/2/18,2171,86
5/3/18,2214,43
5/4/18,2238,24
5/5/18,2257,19
5/6/18,2280,23
5/7/18,2337,57
5/8/18,2380,43
5/9/18,2438,58
5/10/18,2652,214
5/11/18,2876,224
5/12/18,2961,85
5/13/18,3050,89
5/14/18,3391,341
5/15/18,3541,150
5/16/18,3621,80
5/17/18,3731,110
5/18/18,3999,268
5/19/18,4303,304
5/20/18,4466,163
5/21/18,4600,134
5/22/18,5021,421
5/23/18,5364,343
5/24/18,5745,381
5/25/18,6034,289
5/26/18,6183,149
5/27/18,6319,136
5/28/18,6548,229
5/29/18,6823,275
5/30/18,7136,313
5/31/18,7390,254
6/1/18,7633,243
6/2/18,7907,274
6/3/18,8191,284
6/4/18,8481,290
6/5/18,8794,313
6/6/18,9342,548
6/7/18,9752,410
6/8/18,10028,276
6/9/18,10223,195
6/10/18,10409,186
6/11/18,10723,314
6/12/18,10898,175
6/13/18,11069,171
6/14/18,11461,392
6/15/18,11747,286
6/16/18,11925,178
6/17/18,12045,120
6/18/18,12283,238
6/19/18,12556,273
6/20/18,13040,484
6/21/18,13425,385
6/22/18,13723,298
6/23/18,13862,139
6/24/18,14046,184
6/25/18,14343,297
6/26/18,14733,390
6/27/18,15529,796
6/28/18,17084,1555
6/29/18,18263,1179
6/30/18,19479,1216
7/1/18,20551,1072
